aid,chembl_id
2941,CHEMBL615154
3029,CHEMBL615354
3056,CHEMBL857972
3270,CHEMBL825022
3339,CHEMBL615600
3401,CHEMBL615525
3405,CHEMBL615529
3416,CHEMBL615539
3423,CHEMBL615546
3434,CHEMBL615557
3458,CHEMBL615579
3459,CHEMBL615580
3480,CHEMBL615451
3487,CHEMBL615458
3488,CHEMBL615459
3568,CHEMBL615745
3633,CHEMBL615636
3695,CHEMBL615400
3701,CHEMBL615782
3719,CHEMBL615820
3730,CHEMBL615831
3734,CHEMBL615835
3761,CHEMBL615918
3823,CHEMBL615772
3848,CHEMBL616128
3907,CHEMBL616051
3922,CHEMBL616225
3993,CHEMBL616417
4011,CHEMBL616057
4023,CHEMBL616069
4026,CHEMBL616072
4042,CHEMBL616088
4058,CHEMBL616104
4059,CHEMBL616105
4062,CHEMBL616108
4092,CHEMBL615959
4160,CHEMBL616294
4254,CHEMBL616540
4298,CHEMBL616188
4299,CHEMBL873475
4309,CHEMBL616198
4312,CHEMBL616201
4314,CHEMBL616203
4318,CHEMBL616207
4321,CHEMBL616210
4322,CHEMBL616211
4331,CHEMBL616306
4334,CHEMBL616308
4336,CHEMBL616310
4344,CHEMBL616569
4348,CHEMBL616573
4367,CHEMBL616591
4370,CHEMBL616594
4404,CHEMBL616337
4411,CHEMBL616344
4412,CHEMBL616345
4413,CHEMBL616346
4416,CHEMBL616349
4419,CHEMBL616154
4513,CHEMBL616639
4515,CHEMBL616641
4516,CHEMBL616642
4517,CHEMBL616643
4528,CHEMBL616515
4575,CHEMBL616666
4586,CHEMBL617047
4599,CHEMBL616907
4600,CHEMBL616908
4603,CHEMBL616911
4604,CHEMBL616912
4625,CHEMBL616931
4668,CHEMBL616553
4718,CHEMBL616791
4782,CHEMBL616480
4825,CHEMBL616980
4826,CHEMBL616981
4837,CHEMBL617246
4839,CHEMBL617547
4851,CHEMBL617559
4852,CHEMBL617560
4864,CHEMBL617570
4898,CHEMBL617092
4909,CHEMBL617305
4933,CHEMBL616868
4935,CHEMBL616870
4986,CHEMBL616730
5006,CHEMBL617142
5011,CHEMBL617147
5025,CHEMBL617210
5035,CHEMBL617219
5061,CHEMBL617242
5072,CHEMBL617247
5086,CHEMBL617013
5089,CHEMBL617016
5153,CHEMBL617198
5154,CHEMBL873476
5189,CHEMBL617075
5192,CHEMBL617078
5270,CHEMBL617444
5331,CHEMBL617268
5356,CHEMBL617346
5425,CHEMBL616876
5426,CHEMBL616877
5428,CHEMBL616879
5476,CHEMBL617124
5492,CHEMBL617461
5603,CHEMBL617951
5654,CHEMBL617752
5656,CHEMBL617754
5659,CHEMBL617757
5683,CHEMBL617854
5685,CHEMBL617855
5783,CHEMBL617786
5811,CHEMBL617628
5835,CHEMBL617877
5870,CHEMBL620619
5896,CHEMBL872925
5938,CHEMBL620657
5946,CHEMBL620665
5980,CHEMBL617820
6073,CHEMBL617702
6080,CHEMBL617709
6239,CHEMBL619040
6256,CHEMBL875079
6280,CHEMBL619411
6286,CHEMBL619417
6308,CHEMBL620723
6310,CHEMBL620725
6339,CHEMBL875083
6343,CHEMBL618129
6355,CHEMBL618141
6357,CHEMBL618142
6406,CHEMBL619177
6546,CHEMBL620784
6563,CHEMBL620800
6583,CHEMBL620819
6612,CHEMBL618165
6667,CHEMBL620767
6702,CHEMBL619878
6706,CHEMBL619882
6718,CHEMBL618006
6725,CHEMBL618012
6775,CHEMBL619391
6790,CHEMBL619406
6806,CHEMBL619911
6809,CHEMBL619914
6820,CHEMBL619924
6822,CHEMBL619926
6824,CHEMBL619928
6857,CHEMBL618056
6864,CHEMBL618063
6881,CHEMBL619255
7065,CHEMBL619233
7080,CHEMBL619246
7096,CHEMBL619999
